City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Acarau,BR,78.44,overcast clouds,-2.8856,-40.12,castelo pizzaria
284,Kalmunai,LK,77.77,scattered clouds,7.4167,81.8167,VS Villa
285,Mansar,IN,84.2,haze,21.4,79.25,OYO 69410 Sip & Bite Restaurant N Lodging
292,Paka,MY,75.2,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
296,Pimenta Bueno,BR,75.04,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
299,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
307,Tucumcari,US,78.8,clear sky,35.1717,-103.725,Holiday Inn Express & Suites Tucumcari
308,Port Keats,AU,77.86,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
314,Ahuimanu,US,84.2,light rain,21.4447,-157.8378,Paradise Bay Resort
318,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
320,Mount Isa,AU,77.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
322,Winslow,US,78.8,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
323,Susangerd,IR,80.6,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
326,Eyl,SO,82.49,scattered clouds,7.9803,49.8164,Amiin Hotel
328,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
329,Selaphum,TH,78.8,few clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
333,Biak,ID,80.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
334,Kuala Terengganu,MY,75.2,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
335,Touros,BR,77.0,clear sky,-5.1989,-35.4608,INN NEW HORIZON
338,Dingle,PH,82.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
350,Robertsport,LR,81.79,moderate rain,6.7533,-11.3686,Kwepunha Retreat
352,Bubaque,GW,78.53,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
353,Kihei,US,82.4,scattered clouds,20.785,-156.4656,Maui Sunset
354,Maine-Soroa,NE,87.13,broken clouds,13.2114,12.0241,Complexe
356,Sibolga,ID,75.45,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
358,Tchollire,CM,78.37,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
359,Santa Rosa,PH,82.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
362,Tamiahua,MX,80.38,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
369,Karratha,AU,79.81,clear sky,-20.7377,116.8463,ibis Styles Karratha
370,Sorong,ID,80.92,scattered clouds,-0.8833,131.25,waigo splash hotel
372,Karachi,PK,80.6,dust,24.9056,67.0822,Sadaat
373,Cayenne,GF,79.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
374,Galle,LK,79.07,broken clouds,6.0367,80.217,Amangalla
377,Limon,CR,82.4,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
378,Adrar,MR,79.99,few clouds,20.5022,-10.0711,
380,Male,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
382,Key West,US,80.6,light rain,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
391,Sao Jose Da Coroa Grande,BR,78.48,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
393,Barela,IN,78.78,scattered clouds,23.1,80.05,GRKIST Boys Hostel
396,Conceicao Do Araguaia,BR,80.6,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
397,Banda Aceh,ID,79.65,overcast clouds,5.5577,95.3222,Sulthan Hotel International
