City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Mar Del Plata,AR,-38.0023,-57.5575,59.0,77,0,5.75,clear sky
202,Port Blair,IN,11.6667,92.75,81.45,71,13,1.88,few clouds
203,Durant,US,33.994,-96.3708,66.0,72,75,10.25,broken clouds
204,Udachnyy,RU,66.4167,112.4,29.1,88,96,4.7,overcast clouds
205,Bairiki,KI,1.3292,172.9752,87.8,70,75,6.91,moderate rain
206,Peking,CN,39.9075,116.3972,60.8,72,100,2.24,overcast clouds
207,Portland,US,45.5234,-122.6762,54.0,71,75,8.05,broken clouds
208,Nome,US,64.5011,-165.4064,39.2,70,1,4.61,clear sky
209,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,90,23.02,light rain
210,Cascais,PT,38.6979,-9.4215,62.01,90,40,12.64,scattered clouds
211,Norman Wells,CA,65.282,-126.8329,41.0,45,75,8.05,broken clouds
212,Mapiri,BO,-15.25,-68.1667,69.08,97,35,1.66,scattered clouds
213,Dalvik,IS,65.9702,-18.5286,39.2,100,0,2.3,clear sky
214,Shenzhen,CN,22.5455,114.0683,78.01,84,70,1.01,broken clouds
215,Tombouctou,ML,20.0,-3.0,88.09,13,44,7.65,scattered clouds
216,Longyearbyen,SJ,78.2186,15.6401,24.8,74,75,3.44,broken clouds
217,Senigallia,IT,43.7093,13.2167,50.0,81,1,3.44,clear sky
218,Sao Filipe,CV,14.8961,-24.4956,72.46,72,21,9.98,few clouds
219,Carauari,BR,-4.8828,-66.8958,74.77,96,63,0.85,broken clouds
220,Bata,GQ,1.8639,9.7658,77.0,100,40,3.91,scattered clouds
221,Sorgun,TR,39.8101,35.186,47.3,86,100,6.17,overcast clouds
222,Altay,CN,47.8667,88.1167,24.55,50,30,6.29,scattered clouds
223,Tahe,CN,52.3333,124.7333,42.22,42,36,7.02,scattered clouds
224,Gheorgheni,RO,46.7167,25.6167,45.0,81,34,1.88,scattered clouds
225,Lagoa,PT,39.05,-27.9833,58.96,82,52,24.65,broken clouds
226,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,11.5,scattered clouds
227,Sirawai,PH,7.5854,122.1407,83.95,70,51,4.52,broken clouds
228,Thompson,CA,55.7435,-97.8558,28.4,46,75,4.61,broken clouds
229,Cervo,ES,43.6702,-7.4101,53.01,100,100,1.01,overcast clouds
230,Mathbaria,BD,22.2876,89.9593,78.24,76,18,2.84,few clouds
231,Vanavara,RU,60.34,102.2797,34.59,95,100,0.45,overcast clouds
232,Kavaratti,IN,10.5669,72.642,84.22,71,29,12.26,scattered clouds
233,Chunoyar,RU,57.4467,97.3217,33.67,96,100,5.06,overcast clouds
234,Newport,GB,51.5877,-2.9984,50.0,70,0,8.05,clear sky
235,Uusikaupunki,FI,60.8004,21.4084,33.8,80,90,8.05,light snow
236,Geraldton,AU,-28.7667,114.6,60.8,77,64,6.91,broken clouds
237,Buzmeyin,TM,38.0507,58.2056,64.4,63,75,2.3,broken clouds
238,Ewa Beach,US,21.3156,-158.0072,84.2,47,75,6.91,broken clouds
239,Serebryansk,KZ,49.6925,83.2892,21.2,68,1,2.24,clear sky
240,Poya,NC,-21.35,165.15,76.46,81,100,7.27,light rain
241,Lompoc,US,34.6391,-120.4579,60.8,59,92,13.8,overcast clouds
242,Padang,ID,-0.9492,100.3543,73.4,94,40,1.14,scattered clouds
243,Vidalia,US,32.2177,-82.4135,64.4,100,90,6.91,moderate rain
244,Chapais,CA,49.7834,-74.8492,41.0,60,90,11.5,overcast clouds
245,Probistip,MK,42.0031,22.1786,44.6,87,20,3.94,few clouds
246,Estacion Coahuila,MX,32.1939,-115.0017,96.01,13,1,11.5,clear sky
247,Tocopilla,CL,-22.092,-70.1979,65.43,74,1,5.61,clear sky
248,Jawhar,SO,2.7809,45.5005,79.79,81,75,6.55,broken clouds
249,Kaseda,JP,31.4167,130.3167,60.8,67,20,5.75,few clouds
250,Chokurdakh,RU,70.6333,147.9167,9.21,80,4,6.33,clear sky
251,Verkhnevilyuysk,RU,63.4453,120.3167,33.01,91,100,4.0,overcast clouds
252,Abu Kamal,SY,34.4506,40.9171,78.08,15,21,7.38,few clouds
253,Nishihara,JP,26.1842,127.7558,73.4,78,75,13.8,broken clouds
254,Mpanda,TZ,-6.3655,31.0409,64.72,95,75,2.17,broken clouds
255,Maunabo,PR,18.0072,-65.8993,79.0,79,40,4.0,scattered clouds
256,Zhezkazgan,KZ,47.8043,67.7144,41.07,39,75,8.86,broken clouds
257,Kodiak,US,57.79,-152.4072,42.8,87,90,9.22,mist
258,Arlit,NE,18.7369,7.3853,89.6,12,33,9.26,scattered clouds
259,Torrington,US,41.8007,-73.1212,61.0,40,99,1.01,overcast clouds
260,Salalah,OM,17.0151,54.0924,82.4,78,40,5.75,scattered clouds
261,Antofagasta,CL,-23.65,-70.4,60.8,72,0,6.91,clear sky
262,Mayo,US,38.8876,-76.5119,55.99,71,90,4.61,moderate rain
263,Joensuu,FI,62.6012,29.7632,36.0,93,75,4.61,broken clouds
264,Codrington,AU,-38.2667,141.9667,57.88,77,87,5.99,overcast clouds
265,Ternate,ID,0.8,127.4,83.41,74,77,6.2,broken clouds
266,Manaure,CO,11.7751,-72.4445,83.28,65,89,21.81,overcast clouds
267,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,75,14.97,light rain
268,Ixtapa,MX,20.7,-105.2,80.6,69,75,11.5,broken clouds
269,Saldanha,ZA,-33.0117,17.9442,59.0,77,98,2.3,overcast clouds
270,Saint Anthony,US,45.0205,-93.218,48.99,31,1,11.5,clear sky
271,Lorengau,PG,-2.0226,147.2712,82.35,77,33,4.9,scattered clouds
272,Hailey,US,43.5196,-114.3153,51.01,57,86,8.99,overcast clouds
273,Nalut,LY,30.3333,10.85,59.92,58,0,15.12,clear sky
274,Nemuro,JP,43.3236,145.575,32.0,100,75,9.22,light snow
275,Wattegama,LK,6.7989,81.4808,73.47,93,37,1.86,scattered clouds
276,San Patricio,US,28.017,-97.5169,91.0,20,20,13.8,few clouds
277,Seminole,US,28.7086,-81.2081,84.2,51,1,14.97,clear sky
278,Harper,LR,4.375,-7.7169,81.14,82,95,7.74,light rain
279,Torbay,CA,47.6666,-52.7314,39.99,81,40,17.27,scattered clouds
280,Tlanalapan,MX,19.25,-97.2667,56.08,64,93,5.91,overcast clouds
281,Isla Mujeres,MX,21.2311,-86.731,84.0,74,75,12.66,broken clouds
282,Acarau,BR,-2.8856,-40.12,78.44,86,98,11.27,overcast clouds
283,Sydney,AU,-33.8679,151.2073,66.99,48,20,6.91,few clouds
284,Kalmunai,LK,7.4167,81.8167,77.77,82,28,1.23,scattered clouds
285,Mansar,IN,21.4,79.25,84.2,23,20,2.3,haze
286,Concordia,AR,-31.393,-58.0209,62.01,100,43,1.99,scattered clouds
287,Myrtle Beach,US,33.6891,-78.8867,66.99,88,1,16.11,clear sky
288,Prince Rupert,CA,54.3161,-130.3201,57.2,54,40,6.91,scattered clouds
289,Rio Gallegos,AR,-51.6226,-69.2181,48.2,66,0,6.91,clear sky
290,Northam,GB,51.0333,-4.2167,46.99,66,8,1.01,clear sky
291,Mwanza,TZ,-2.5167,32.9,68.41,84,100,3.69,light rain
292,Paka,MY,4.6374,103.4368,75.2,94,40,3.13,scattered clouds
293,Markova,UA,48.6758,24.4138,36.61,85,100,5.37,overcast clouds
294,Demmin,DE,53.9076,13.0314,42.01,64,75,3.44,broken clouds
295,Anda,CN,46.4,125.3167,51.24,25,2,13.09,clear sky
296,Pimenta Bueno,BR,-11.6725,-61.1936,75.04,95,47,3.13,scattered clouds
297,Anadyr,RU,64.75,177.4833,33.8,86,20,4.47,fog
298,Umea,SE,63.8284,20.2597,32.0,80,90,16.11,overcast clouds
299,Grand Gaube,MU,-20.0064,57.6608,75.99,85,100,10.0,light rain
300,Linqing,CN,36.8456,115.7117,54.77,61,100,12.15,moderate rain
301,Ponta Do Sol,PT,32.6667,-17.1,57.0,84,46,1.99,scattered clouds
302,Tamworth,GB,52.634,-1.6959,42.01,86,1,7.0,clear sky
303,Tiksi,RU,71.6872,128.8694,32.22,92,100,11.43,overcast clouds
304,Turukhansk,RU,65.8167,87.9833,31.5,98,100,7.94,light snow
305,Granard,IE,53.7667,-7.5,39.79,87,5,6.76,clear sky
306,Mindelo,CV,16.8901,-24.9804,71.6,73,20,23.02,few clouds
307,Tucumcari,US,35.1717,-103.725,78.8,11,1,25.32,clear sky
308,Port Keats,AU,-14.25,129.55,77.86,30,95,12.08,overcast clouds
309,Litovko,RU,49.2361,135.1742,40.86,27,48,12.59,scattered clouds
310,Carthage,TN,36.8611,10.3316,53.6,94,20,2.95,few clouds
311,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,88,75,26.89,broken clouds
312,Vilhena,BR,-12.7406,-60.1458,71.6,94,0,4.61,clear sky
313,Kuytun,RU,54.3419,101.5036,33.57,72,100,3.22,overcast clouds
314,Ahuimanu,US,21.4447,-157.8378,84.2,65,40,13.8,light rain
315,Avera,US,33.194,-82.5271,64.4,98,90,10.36,overcast clouds
316,Sobolevo,RU,54.4299,31.8996,30.16,89,62,8.48,broken clouds
317,Saint-Vallier,FR,46.6411,4.3711,52.0,71,0,3.94,clear sky
318,Georgetown,MY,5.4112,100.3354,81.0,89,20,5.75,few clouds
319,Sioux Lookout,CA,50.1001,-91.917,39.2,26,20,10.36,few clouds
320,Mount Isa,AU,-20.7333,139.5,77.0,47,6,17.27,clear sky
321,Atherton,GB,53.5237,-2.4935,46.99,70,1,3.0,clear sky
322,Winslow,US,35.0242,-110.6974,78.8,11,1,26.46,clear sky
323,Susangerd,IR,31.5608,48.1831,80.6,24,0,2.3,clear sky
324,Mao,ES,39.8885,4.2658,57.2,94,75,9.22,broken clouds
325,Bilibino,RU,68.0546,166.4372,28.53,91,100,3.89,overcast clouds
326,Eyl,SO,7.9803,49.8164,82.49,77,46,6.11,scattered clouds
327,Kirksville,US,40.1948,-92.5833,60.8,44,1,12.66,clear sky
328,Tautira,PF,-17.7333,-149.15,84.0,74,75,8.05,light rain
329,Selaphum,TH,16.0299,103.9383,78.8,89,19,2.3,few clouds
330,Ilulissat,GL,69.2167,-51.1,46.4,46,11,21.85,few clouds
331,Baykit,RU,61.67,96.37,36.03,91,100,2.26,overcast clouds
332,Petrivka,UA,46.9695,30.9591,46.4,81,0,4.34,clear sky
333,Biak,ID,-0.9131,122.8766,80.53,71,94,5.21,overcast clouds
334,Kuala Terengganu,MY,5.3302,103.1408,75.2,100,20,3.44,few clouds
335,Touros,BR,-5.1989,-35.4608,77.0,88,0,4.61,clear sky
336,Luderitz,NA,-26.6481,15.1594,64.18,73,68,4.54,broken clouds
337,Barra Do Garcas,BR,-15.89,-52.2567,73.4,78,0,1.54,clear sky
